CHAMBERS ST,123,04/03/2017,22123
125 ST,456,04/03/2017,29119
86 ST,456,04/03/2017,41257
TIMES SQ-42 ST,1237ACENQRSW,04/03/2017,67764
59 ST COLUMBUS,1ABCD,04/03/2017,13041
168 ST,1AC,04/03/2017,12361
SOUTH FERRY,1RW,04/03/2017,14517
FULTON ST,2345ACJZ,04/03/2017,61842
PARK PLACE,23ACE,04/03/2017,3479
GRD CNTRL-42 ST,4567S,04/03/2017,143957
BROOKLYN BRIDGE,456JZ,04/03/2017,20051
14 ST-UNION SQ,456LNQRW,04/03/2017,28355
59 ST,456NQRW,04/03/2017,38692
175 ST,A,04/03/2017,12907
181 ST,A,04/03/2017,11144
190 ST,A,04/03/2017,4592
DYCKMAN ST,A,04/03/2017,6681
INWOOD-207 ST,A,04/03/2017,9503
145 ST,ABCD,04/03/2017,23605
W 4 ST-WASH SQ,ABCDEFM,04/03/2017,34819
125 ST,ACBD,04/03/2017,27077
CANAL ST,ACE,04/03/2017,16684
CANAL ST,ACE,04/03/2017,16684
CHAMBERS ST,ACE23,04/03/2017,31771
14 ST,ACEL,04/03/2017,18575
42 ST-PORT AUTH,ACENQRS1237W,04/03/2017,93531
FULTON ST,ACJZ2345,04/03/2017,29046
103 ST,BC,04/03/2017,4656
116 ST,BC,04/03/2017,7054
135 ST,BC,04/03/2017,5856
72 ST,BC,04/03/2017,7982
81 ST-MUSEUM,BC,04/03/2017,11211
86 ST,BC,04/03/2017,10315
96 ST,BC,04/03/2017,9473
CATHEDRAL PKWY,BC,04/03/2017,7327
155 ST,BD,04/03/2017,3773
GRAND ST,BD,04/03/2017,22499
7 AV,BDE,04/03/2017,14741
47-50 STS ROCK,BDFM,04/03/2017,51992
42 ST-BRYANT PK,BDFM7,04/03/2017,36281
34 ST-HERALD SQ,BDFMNQRW,04/03/2017,111247
B'WAY-LAFAYETTE,BDFQ6,04/03/2017,18575
163 ST-AMSTERDM,C,04/03/2017,4423
23 ST,CE,04/03/2017,20495
SPRING ST,CE,04/03/2017,10779
5 AV/53 ST,EM,04/03/2017,23587
57 ST,F,04/03/2017,13014
EAST BROADWAY,F,04/03/2017,13821
LEXINGTON AV/63,F,04/03/2017,18421
DELANCEY/ESSEX,FJMZ,04/03/2017,23405
14 ST,FLM123,04/03/2017,15813
14 ST,FLM123,04/03/2017,15813
6 AV,FLM123,04/03/2017,5246
23 ST,FM,04/03/2017,27281
CANAL ST,JNQRZ6W,04/03/2017,43729
BOWERY,JZ,04/03/2017,3023
BROAD ST,JZ,04/03/2017,7603
CHAMBERS ST,JZ456,04/03/2017,10933
1 AV,L,04/03/2017,18687
3 AV,L,04/03/2017,5134
49 ST,NQRW,04/03/2017,21236
5 AV/59 ST,NQRW,04/03/2017,15811
57 ST-7 AV,NQRW,04/03/2017,29023
59 ST,NRW,04/03/2017,17533
8 ST-NYU,NRW,04/03/2017,13993
PRINCE ST,NRW,04/03/2017,11530
RECTOR ST,NRW,04/03/2017,6655
72 ST-2 AVE,Q,04/03/2017,25307
86 ST-2 AVE,Q,04/03/2017,21213
96 ST-2 AVE,Q,04/03/2017,15558
WHITEHALL S-FRY,R1W,04/03/2017,17629
CORTLANDT ST,RNW,04/03/2017,18028
103 ST,1,04/04/2017,13383
116 ST-COLUMBIA,1,04/04/2017,15955
125 ST,1,04/04/2017,6763
137 ST CITY COL,1,04/04/2017,14922
157 ST,1,04/04/2017,10494
18 ST,1,04/04/2017,7854
181 ST,1,04/04/2017,11248
191 ST,1,04/04/2017,8487
207 ST,1,04/04/2017,6161
215 ST,1,04/04/2017,1950
28 ST,1,04/04/2017,14282
50 ST,1,04/04/2017,21173
66 ST-LINCOLN,1,04/04/2017,22104
79 ST,1,04/04/2017,15291
86 ST,1,04/04/2017,18283
CANAL ST,1,04/04/2017,5725
CHRISTOPHER ST,1,04/04/2017,12167
DYCKMAN ST,1,04/04/2017,6832
HOUSTON ST,1,04/04/2017,14773
RECTOR ST,1,04/04/2017,9553
TWENTY THIRD ST,1,04/04/2017,10511
145 ST,3,04/04/2017,3412
HARLEM 148 ST,3,04/04/2017,3994
103 ST,6,04/04/2017,14286
110 ST,6,04/04/2017,11617
116 ST,6,04/04/2017,16038
23 ST,6,04/04/2017,29616
28 ST,6,04/04/2017,22347
33 ST,6,04/04/2017,28989
51 ST,6,04/04/2017,19401
51 ST,6,04/04/2017,19401
68ST-HUNTER CO,6,04/04/2017,26657
96 ST,6,04/04/2017,19757
ASTOR PL,6,04/04/2017,14924
SPRING ST,6,04/04/2017,8850
34 ST-HUDSON YD,7,04/04/2017,8045
116 ST,23,04/04/2017,11224
125 ST,23,04/04/2017,14504
135 ST,23,04/04/2017,14336
CENTRAL PK N110,23,04/04/2017,8756
BOWLING GREEN,45,04/04/2017,29535
WALL ST,45,04/04/2017,21414
72 ST,123,04/04/2017,36513
96 ST,123,04/04/2017,36722
CHAMBERS ST,123,04/04/2017,22232
125 ST,456,04/04/2017,27808
86 ST,456,04/04/2017,43602
TIMES SQ-42 ST,1237ACENQRSW,04/04/2017,67292
59 ST COLUMBUS,1ABCD,04/04/2017,13265
168 ST,1AC,04/04/2017,13019
SOUTH FERRY,1RW,04/04/2017,13539
FULTON ST,2345ACJZ,04/04/2017,64071
PARK PLACE,23ACE,04/04/2017,3436
GRD CNTRL-42 ST,4567S,04/04/2017,150653
BROOKLYN BRIDGE,456JZ,04/04/2017,19644
14 ST-UNION SQ,456LNQRW,04/04/2017,28515
59 ST,456NQRW,04/04/2017,38812
175 ST,A,04/04/2017,12729
181 ST,A,04/04/2017,11457
190 ST,A,04/04/2017,4508
DYCKMAN ST,A,04/04/2017,6810
INWOOD-207 ST,A,04/04/2017,9464
145 ST,ABCD,04/04/2017,23502
W 4 ST-WASH SQ,ABCDEFM,04/04/2017,36080
125 ST,ACBD,04/04/2017,26239
CANAL ST,ACE,04/04/2017,17012
CANAL ST,ACE,04/04/2017,17012
CHAMBERS ST,ACE23,04/04/2017,32259
14 ST,ACEL,04/04/2017,18914
42 ST-PORT AUTH,ACENQRS1237W,04/04/2017,97946
FULTON ST,ACJZ2345,04/04/2017,28311
103 ST,BC,04/04/2017,4546
116 ST,BC,04/04/2017,7132
135 ST,BC,04/04/2017,5980
72 ST,BC,04/04/2017,7857
81 ST-MUSEUM,BC,04/04/2017,14550
86 ST,BC,04/04/2017,10828
96 ST,BC,04/04/2017,9588
CATHEDRAL PKWY,BC,04/04/2017,7141
155 ST,BD,04/04/2017,3736
