Main Class Initiated!
Table Created!
...
Refactoring by turnstyle...
Refactoring by station...
Printing relevant...
16514 36
 42 ST-BRYANT PK,  BDFM7,  04/07/2017, 37400, 
 34 ST-HERALD SQ,  BDFMNQRW,  04/07/2017, 125586007, 
 23 ST,  CE,  04/07/2017, 21851, 
 5 AV/53 ST,  EM,  04/07/2017, 26510, 
 LEXINGTON AV/53,  EM6,  04/07/2017, 40683191, 
 23 ST,  FM,  04/07/2017, -1237855975, 
 CANAL ST,  JNQRZ6W,  04/07/2017, -295572613, 
 14 ST-UNION SQ,  LNQR456W,  04/07/2017, 66537, 
 49 ST,  NQRW,  04/07/2017, 23188, 
 57 ST-7 AV,  NQRW,  04/07/2017, 30184, 
 23 ST,  NRW,  04/07/2017, 22325, 
 TIMES SQ-42 ST,  1237ACENQRSW,  04/08/2017, 1732296636, 
 34 ST-PENN STA,  123ACE,  04/08/2017, 25395, 
 14 ST,  123FLM,  04/08/2017, 14247, 
 FULTON ST,  2345ACJZ,  04/08/2017, 1261903, 
 GRD CNTRL-42 ST,  4567S,  04/08/2017, -1783003594, 
 59 ST,  456NQRW,  04/08/2017, 1786216608, 
 145 ST,  ABCD,  04/08/2017, 15779, 
 59 ST COLUMBUS,  ABCD1,  04/08/2017, 31125, 
 W 4 ST-WASH SQ,  ABCDEFM,  04/08/2017, 27989, 
 125 ST,  ACBD,  04/08/2017, 18336, 
 CHAMBERS ST,  ACE23,  04/08/2017, 10238, 
 42 ST-PORT AUTH,  ACENQRS1237W,  04/08/2017, -1101073197, 
 47-50 STS ROCK,  BDFM,  04/08/2017, 15803, 
 42 ST-BRYANT PK,  BDFM7,  04/08/2017, 13153, 
 34 ST-HERALD SQ,  BDFMNQRW,  04/08/2017, 125574814, 
 23 ST,  CE,  04/08/2017, 7496, 
 5 AV/53 ST,  EM,  04/08/2017, 5893, 
 LEXINGTON AV/53,  EM6,  04/08/2017, 40667861, 
 23 ST,  FM,  04/08/2017, -1237849531, 
 CANAL ST,  JNQRZ6W,  04/08/2017, -295577034, 
 14 ST-UNION SQ,  LNQR456W,  04/08/2017, 47495, 
 49 ST,  NQRW,  04/08/2017, 14180, 
 57 ST-7 AV,  NQRW,  04/08/2017, 19088, 
 23 ST,  NRW,  04/08/2017, 14564, 
 TIMES SQ-42 ST,  1237ACENQRSW,  04/09/2017, 1732303355, 
 34 ST-PENN STA,  123ACE,  04/09/2017, 23320, 
 14 ST,  123FLM,  04/09/2017, 11804, 
 FULTON ST,  2345ACJZ,  04/09/2017, 1260800, 
 GRD CNTRL-42 ST,  4567S,  04/09/2017, -1783009993, 
 59 ST,  456NQRW,  04/09/2017, 1786216424, 
 145 ST,  ABCD,  04/09/2017, 12922, 
 59 ST COLUMBUS,  ABCD1,  04/09/2017, 28795, 
 W 4 ST-WASH SQ,  ABCDEFM,  04/09/2017, 877550, 
 125 ST,  ACBD,  04/09/2017, 15976, 
 CHAMBERS ST,  ACE23,  04/09/2017, 7859, 
 42 ST-PORT AUTH,  ACENQRS1237W,  04/09/2017, -1101084700, 
 47-50 STS ROCK,  BDFM,  04/09/2017, 12854, 
 42 ST-BRYANT PK,  BDFM7,  04/09/2017, 10420, 
 34 ST-HERALD SQ,  BDFMNQRW,  04/09/2017, 125581793, 
 23 ST,  CE,  04/09/2017, 5450, 
 5 AV/53 ST,  EM,  04/09/2017, 4748, 
 LEXINGTON AV/53,  EM6,  04/09/2017, 40667650, 
 23 ST,  FM,  04/09/2017, -1237845592, 
 CANAL ST,  JNQRZ6W,  04/09/2017, -295580352, 
 14 ST-UNION SQ,  LNQR456W,  04/09/2017, 36446, 
 49 ST,  NQRW,  04/09/2017, 12854, 
 57 ST-7 AV,  NQRW,  04/09/2017, 16804, 
 23 ST,  NRW,  04/09/2017, 11183, 
 TIMES SQ-42 ST,  1237ACENQRSW,  04/10/2017, 1732341495, 
 34 ST-PENN STA,  123ACE,  04/10/2017, 48962, 
 14 ST,  123FLM,  04/10/2017, 19381, 
 FULTON ST,  2345ACJZ,  04/10/2017, 1294926, 
 GRD CNTRL-42 ST,  4567S,  04/10/2017, -1782954103, 
 59 ST,  456NQRW,  04/10/2017, 1786225785, 
 145 ST,  ABCD,  04/10/2017, 19710, 
 59 ST COLUMBUS,  ABCD1,  04/10/2017, 46881, 
 W 4 ST-WASH SQ,  ABCDEFM,  04/10/2017, 35092, 
 125 ST,  ACBD,  04/10/2017, 23699, 
 CHAMBERS ST,  ACE23,  04/10/2017, 25362, 
 42 ST-PORT AUTH,  ACENQRS1237W,  04/10/2017, -1101059420, 
 47-50 STS ROCK,  BDFM,  04/10/2017, 50978, 
 42 ST-BRYANT PK,  BDFM7,  04/10/2017, 36854, 
 34 ST-HERALD SQ,  BDFMNQRW,  04/10/2017, 125618284, 
 23 ST,  CE,  04/10/2017, 18444, 
 5 AV/53 ST,  EM,  04/10/2017, 24094, 
 LEXINGTON AV/53,  EM6,  04/10/2017, 40688241, 
 23 ST,  FM,  04/10/2017, -1237857105, 
 CANAL ST,  JNQRZ6W,  04/10/2017, -295577027, 
 14 ST-UNION SQ,  LNQR456W,  04/10/2017, 66128, 
 49 ST,  NQRW,  04/10/2017, 21056, 
 57 ST-7 AV,  NQRW,  04/10/2017, 28390, 
 23 ST,  NRW,  04/10/2017, 19929, 
 TIMES SQ-42 ST,  1237ACENQRSW,  04/11/2017, 1732352188, 
 34 ST-PENN STA,  123ACE,  04/11/2017, 51300, 
 14 ST,  123FLM,  04/11/2017, 20166, 
 FULTON ST,  2345ACJZ,  04/11/2017, 1295671, 
 GRD CNTRL-42 ST,  4567S,  04/11/2017, -1782942940, 
 59 ST,  456NQRW,  04/11/2017, 1786225972, 
 145 ST,  ABCD,  04/11/2017, 20090, 
 59 ST COLUMBUS,  ABCD1,  04/11/2017, 47775, 
 W 4 ST-WASH SQ,  ABCDEFM,  04/11/2017, 37477, 
 125 ST,  ACBD,  04/11/2017, 24274, 
 CHAMBERS ST,  ACE23,  04/11/2017, 26414, 
 42 ST-PORT AUTH,  ACENQRS1237W,  04/11/2017, -1101067807, 
 47-50 STS ROCK,  BDFM,  04/11/2017, 50272, 
 42 ST-BRYANT PK,  BDFM7,  04/11/2017, 37295, 
 34 ST-HERALD SQ,  BDFMNQRW,  04/11/2017, 125627031, 
 23 ST,  CE,  04/11/2017, 19615, 
 5 AV/53 ST,  EM,  04/11/2017, 25034, 
 LEXINGTON AV/53,  EM6,  04/11/2017, 40692437, 
 23 ST,  FM,  04/11/2017, -1237867157, 
 CANAL ST,  JNQRZ6W,  04/11/2017, -295579523, 
 14 ST-UNION SQ,  LNQR456W,  04/11/2017, 65605, 
 49 ST,  NQRW,  04/11/2017, 21711, 
 57 ST-7 AV,  NQRW,  04/11/2017, 29317, 
 23 ST,  NRW,  04/11/2017, 21137, 
 TIMES SQ-42 ST,  1237ACENQRSW,  04/12/2017, 1732364855, 
 34 ST-PENN STA,  123ACE,  04/12/2017, 50445, 
 14 ST,  123FLM,  04/12/2017, 20124, 
